condition,identity_continuity_score_v2,identity_continuity_score_legacy,final_identity_retention,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,stage_identity_chain_score,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,initial_identity_retained_at_end,final_self_role_accuracy,self_role_accuracy_all_stages
progressive_history_reset,0.7539819685415193,0.7749236148415813,0.7847222222222222,1.6066666666666667,0.14583333333333623,3.158333333333333,0.33768478739460417,1.9583333333333333,4.958333333333333,0.0,0.0,0.0,4.2,0.0,0.997222222222222,0.98214285714286
progressive_no_persistent_self,0.3086282601952309,0.075,0.075,6.66,0.925,0.0,0.326068834960256,1.0,3.025,0.0,0.0,1.0,4.2,0.3,0.9971064814814813,0.9891865079365096
progressive_persistent,0.6966996548648688,0.677149176533097,0.643171296296295,2.9133333333333336,0.10555555555555765,5.858333333333333,0.33718261137640126,1.9166666666666667,3.45,1.0,0.7084656084656069,0.2977777777777782,1.4,0.55,0.9969907407407405,0.9911706349206363
