run_id,seed,profile,scenario,model,identity_continuity,lure_capture,recovery_latency_s,selection_switches
337_drone_matched_adversarial_identity,337,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
337_ground_creature_matched_adversarial_identity,337,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
337_ground_creature_matched_adversarial_identity,337,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
337_virtual_avatar_matched_adversarial_identity,337,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
337_virtual_avatar_matched_adversarial_identity,337,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
337_wheeled_robot_matched_adversarial_identity,337,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
337_wheeled_robot_matched_adversarial_identity,337,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
338_drone_matched_adversarial_identity,338,drone,matched_adversarial_identity,generic_recurrent_filter,0.9861111111111112,0.013888888888888888,0.0,12
338_drone_matched_adversarial_identity,338,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
338_ground_creature_matched_adversarial_identity,338,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
338_ground_creature_matched_adversarial_identity,338,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
338_virtual_avatar_matched_adversarial_identity,338,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
338_virtual_avatar_matched_adversarial_identity,338,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
338_wheeled_robot_matched_adversarial_identity,338,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
338_wheeled_robot_matched_adversarial_identity,338,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
339_drone_matched_adversarial_identity,339,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,14
339_drone_matched_adversarial_identity,339,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
339_ground_creature_matched_adversarial_identity,339,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
339_ground_creature_matched_adversarial_identity,339,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
339_virtual_avatar_matched_adversarial_identity,339,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
339_virtual_avatar_matched_adversarial_identity,339,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
339_wheeled_robot_matched_adversarial_identity,339,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,2
339_wheeled_robot_matched_adversarial_identity,339,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
340_drone_matched_adversarial_identity,340,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,8
340_drone_matched_adversarial_identity,340,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
340_ground_creature_matched_adversarial_identity,340,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
340_ground_creature_matched_adversarial_identity,340,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
340_virtual_avatar_matched_adversarial_identity,340,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
340_virtual_avatar_matched_adversarial_identity,340,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
340_wheeled_robot_matched_adversarial_identity,340,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
340_wheeled_robot_matched_adversarial_identity,340,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
341_drone_matched_adversarial_identity,341,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,4
341_drone_matched_adversarial_identity,341,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
341_ground_creature_matched_adversarial_identity,341,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
341_ground_creature_matched_adversarial_identity,341,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
341_virtual_avatar_matched_adversarial_identity,341,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
341_virtual_avatar_matched_adversarial_identity,341,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
341_wheeled_robot_matched_adversarial_identity,341,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
341_wheeled_robot_matched_adversarial_identity,341,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
342_drone_matched_adversarial_identity,342,drone,matched_adversarial_identity,generic_recurrent_filter,0.9861111111111112,0.013888888888888888,0.0,16
342_drone_matched_adversarial_identity,342,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
342_ground_creature_matched_adversarial_identity,342,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
342_ground_creature_matched_adversarial_identity,342,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
342_virtual_avatar_matched_adversarial_identity,342,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
342_virtual_avatar_matched_adversarial_identity,342,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
342_wheeled_robot_matched_adversarial_identity,342,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
342_wheeled_robot_matched_adversarial_identity,342,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
343_drone_matched_adversarial_identity,343,drone,matched_adversarial_identity,generic_recurrent_filter,0.9861111111111112,0.013888888888888888,0.0,14
343_drone_matched_adversarial_identity,343,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
343_ground_creature_matched_adversarial_identity,343,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
343_ground_creature_matched_adversarial_identity,343,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
343_virtual_avatar_matched_adversarial_identity,343,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
343_virtual_avatar_matched_adversarial_identity,343,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
343_wheeled_robot_matched_adversarial_identity,343,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
343_wheeled_robot_matched_adversarial_identity,343,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
344_drone_matched_adversarial_identity,344,drone,matched_adversarial_identity,generic_recurrent_filter,0.9861111111111112,0.013888888888888888,0.0,8
344_drone_matched_adversarial_identity,344,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
344_ground_creature_matched_adversarial_identity,344,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
344_ground_creature_matched_adversarial_identity,344,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
344_virtual_avatar_matched_adversarial_identity,344,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
344_virtual_avatar_matched_adversarial_identity,344,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
344_wheeled_robot_matched_adversarial_identity,344,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
344_wheeled_robot_matched_adversarial_identity,344,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
345_drone_matched_adversarial_identity,345,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,4
345_drone_matched_adversarial_identity,345,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
