condition,identity_continuity_score_v2,identity_continuity_score_legacy,final_identity_retention,final_identity_recovery_latency,final_recovery_observed,final_old_signature_clone_capture,final_identity_switches,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,stage_identity_chain_score,training_transition_lure_error,training_transition_recovery_latency,initial_identity_retained_at_end,final_self_role_accuracy
final_from_start,0.8679302522818366,0.9294801126858808,0.929976851851852,0.27291666666666664,1.0,0.054253472222221245,1.4583333333333333,0.35210680228080915,1.4583333333333333,2.0625,1.0,0.05555555555555563,0.11111111111111105,1.0,1.0
progressive_history_reset,0.8690072692358201,0.9275406051081695,0.9320023148148157,0.2833333333333333,1.0,0.057291666666666664,1.1875,0.3517873041707554,1.3541666666666667,4.354166666666667,0.0,0.0,4.2,0.0,1.0
progressive_no_persistent_self,0.31623469468637916,0.08333333333333333,0.08333333333333333,6.105,0.08333333333333333,0.9166666666666666,0.0,0.34362245571983063,1.0,2.0,0.0,1.0,4.2,0.9166666666666666,1.0
progressive_persistent,0.8825983071155464,0.9466286733480885,0.948495370370371,0.19583333333333333,1.0,0.040364583333333336,0.875,0.35267315189219645,1.2916666666666667,2.0833333333333335,1.0,0.15798611111111,0.24305555555555666,1.0,1.0
random_curriculum,0.8775439301975404,0.9402788411366217,0.9453125000000009,0.2333333333333333,1.0,0.047743055555555414,0.9166666666666666,0.35222622279405913,1.3333333333333333,2.0416666666666665,1.0,0.14201388888888852,0.22291666666666687,1.0,1.0
reverse_curriculum,0.8754630562554744,0.9361768551635438,0.9377893518518525,0.23958333333333334,1.0,0.04861111111111104,1.1041666666666667,0.3521762150191598,1.3125,2.0625,1.0,0.16249999999999895,0.24722222222222312,1.0,1.0
