protocol_version,profile,condition,seed,schedule,training_transition_count,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score
7.0-p1,ground_creature,progressive_persistent,258,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99454066195231,0.05537996438701,0.9391606975653,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,final_from_start,258,3-3-3-3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.99451521247507,0.18047808638653,0.81403712608854,1,4,0.0,1.0,1.0
7.0-p1,ground_creature,reverse_curriculum,258,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99477433269933,0.05535777261426,0.93941656008506,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,random_curriculum,258,1-2-3-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99476784769517,0.05559178480526,0.9391760628899,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,progressive_history_reset,258,0-1-2-3,3,0.66666666666667,0.0,1.6,0.66666666666667,0.0,0.0,6.4,1.0,1.0,0.96129751600571,0.05551823389661,0.9057792821091,1,3,0.0,1.0,0.0
7.0-p1,ground_creature,progressive_no_persistent_self,258,0-1-2-3,3,0.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.99452575674492,0.04619373898904,0.94833201775588,1,3,0.0,0.99479166666667,1.0
7.0-p1,wheeled_robot,progressive_persistent,258,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99397556983394,0.0410953197033,0.95288025013064,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,final_from_start,258,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.37306779501337,0.17873878511859,0.19432900989478,64,68,0.0,1.0,0.0
7.0-p1,wheeled_robot,reverse_curriculum,258,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9942475084052,0.04139126682399,0.95285624158121,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,random_curriculum,258,1-2-3-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99424479671039,0.04128252646522,0.95296227024517,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,progressive_history_reset,258,0-1-2-3,3,0.33333333333333,0.0,3.2,0.33333333333333,1.0,1.0,0.0,0.0,1.0,0.9600571094538,0.05543084467967,0.90462626477414,1,2,1.0,1.0,1.0
7.0-p1,wheeled_robot,progressive_no_persistent_self,258,0-1-2-3,3,0.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.99394272104498,0.04588080775214,0.94806191329284,1,3,0.0,0.99479166666667,1.0
7.0-p1,drone,progressive_persistent,258,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99286611675204,0.04020426385049,0.95266185290155,1,1,1.0,1.0,1.0
7.0-p1,drone,final_from_start,258,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.3679790308193,0.17624774925192,0.19173128156737,64,68,0.0,1.0,0.0
7.0-p1,drone,reverse_curriculum,258,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99316185733873,0.04014028572222,0.95302157161651,1,1,1.0,1.0,1.0
7.0-p1,drone,random_curriculum,258,1-2-3-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99316182968043,0.05535864019078,0.93780318948964,1,1,1.0,1.0,1.0
7.0-p1,drone,progressive_history_reset,258,0-1-2-3,3,0.0,0.33333333333333,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.95748018026888,0.05544678318255,0.90203339708633,1,3,0.0,1.0,1.0
7.0-p1,drone,progressive_no_persistent_self,258,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,1.0,0.95744835319133,0.17633306816875,0.78111528502259,1,4,0.0,0.99479166666667,0.0
7.0-p1,virtual_avatar,progressive_persistent,258,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99488679573565,0.04021487127902,0.95467192445663,1,1,1.0,1.0,1.0
7.0-p1,virtual_avatar,final_from_start,258,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.37777754012461,0.1811373665034,0.19664017362121,64,68,0.0,1.0,0.0
