seed,profile,condition,protocol,identity_continuity_score_v2,identity_continuity_score_legacy,final_identity_retention,final_identity_recovery_latency,final_recovery_observed,final_old_signature_clone_capture,final_identity_switches,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,stage_identity_chain_score,training_transition_lure_error,training_transition_recovery_latency,initial_identity_retained_at_end,final_self_role_accuracy,scene_hash
261,virtual_avatar,final_from_start,matched_diagnostic,0.92313254503833,1.0,1.0,0.0,1,0.0,0,0.35943787531942,1,1,1.0,0.0,0.0,1.0,1.0,2fcae0bbfc77977029859a282a5f85d92fc7d17cadab00685f174817e5500aa2
261,virtual_avatar,reverse_curriculum,matched_diagnostic,0.92312436310664,1.0,1.0,0.0,1,0.0,0,0.35936969255534,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,d0e375b8842ba1bd7f4ab84d4e419894c5a773c73c8f31aa13ab2553e31339c0
261,virtual_avatar,random_curriculum,matched_diagnostic,0.92312436310664,1.0,1.0,0.0,1,0.0,0,0.35936969255534,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,405969df62155543b78534eeff5e35d1021c11bd15d8b5b84740a828c2ecb0ec
261,virtual_avatar,progressive_history_reset,matched_diagnostic,0.92312268935429,1.0,1.0,0.0,1,0.0,0,0.35935574461908,1,4,0.0,0.0,4.2,0.0,1.0,405969df62155543b78534eeff5e35d1021c11bd15d8b5b84740a828c2ecb0ec
261,virtual_avatar,progressive_no_persistent_self,matched_diagnostic,0.92298816232361,1.0,1.0,0.0,1,0.0,0,0.35823468603007,1,2,0.0,1.0,4.2,0.0,1.0,405969df62155543b78534eeff5e35d1021c11bd15d8b5b84740a828c2ecb0ec
262,ground_creature,progressive_persistent,matched_diagnostic,0.92297001753252,1.0,1.0,0.0,1,0.0,0,0.35808347943766,1,2,1.0,0.08333333333333,0.16666666666667,1.0,1.0,e7578baf351e65d63946bdc6feeaebbd7b597ac434f2a2e3756eeb1d566f5160
262,ground_creature,final_from_start,matched_diagnostic,0.922978892072,1.0,1.0,0.0,1,0.0,0,0.35815743393332,1,1,1.0,0.0,0.0,1.0,1.0,ee7217b7da7abafdc56af9e2c540e1401b1224942f7360712d14f78fc2e4e128
262,ground_creature,reverse_curriculum,matched_diagnostic,0.92297001753252,1.0,1.0,0.0,1,0.0,0,0.35808347943766,1,2,1.0,0.08333333333333,0.16666666666667,1.0,1.0,892534414a91c50819d311ab1a35455f01a5d36398852aa45a1bd53cb37b1467
262,ground_creature,random_curriculum,matched_diagnostic,0.922978892072,1.0,1.0,0.0,1,0.0,0,0.35815743393332,1,1,1.0,0.0,0.0,1.0,1.0,6e1a6a4134eb22cde4152c18c3ae47f572d9a8c8b170be2f2c7c77f5f74b3fe6
262,ground_creature,progressive_history_reset,matched_diagnostic,0.92296231127046,1.0,1.0,0.0,1,0.0,0,0.35801926058717,1,4,0.0,0.0,4.2,0.0,1.0,e7578baf351e65d63946bdc6feeaebbd7b597ac434f2a2e3756eeb1d566f5160
262,ground_creature,progressive_no_persistent_self,matched_diagnostic,0.26135498655334,0.0,0.0,6.66,0,1.0,0,0.34462488794451,1,2,0.0,1.0,4.2,1.0,1.0,e7578baf351e65d63946bdc6feeaebbd7b597ac434f2a2e3756eeb1d566f5160
262,wheeled_robot,progressive_persistent,matched_diagnostic,0.9228459997359,1.0,1.0,0.0,1,0.0,0,0.35704999779913,1,2,1.0,0.21666666666667,0.23333333333333,1.0,1.0,02cc1b308e8025a4595153732a94b227b0d8140b571aeec6a576d773ca18cd80
262,wheeled_robot,final_from_start,matched_diagnostic,0.88674149950968,0.97764458649951,0.98611111111111,0.1,1,0.02083333333333,1,0.35469401452864,2,2,1.0,0.0,0.0,1.0,1.0,195ac5a55d5835e990c18090e28181b938a31963d5691f203aaa0044c185483a
262,wheeled_robot,reverse_curriculum,matched_diagnostic,0.9228459997359,1.0,1.0,0.0,1,0.0,0,0.35704999779913,1,2,1.0,0.21666666666667,0.23333333333333,1.0,1.0,1e0a298128627a9c6b69106e81f202957a1a67146df55150a5ae159ccd80d6fe
262,wheeled_robot,random_curriculum,matched_diagnostic,0.83207211651353,0.89222019764877,0.93055555555556,0.5,1,0.10416666666667,1,0.34816245011101,2,2,1.0,0.1,0.2,1.0,1.0,6d9cff0cec8b027f95f75622b1a89a82448f148baa4577cdbe1efa31ec0f59f7
262,wheeled_robot,progressive_history_reset,matched_diagnostic,0.92286969829804,1.0,1.0,0.0,1,0.0,0,0.357247485817,1,4,0.0,0.0,4.2,0.0,1.0,02cc1b308e8025a4595153732a94b227b0d8140b571aeec6a576d773ca18cd80
262,wheeled_robot,progressive_no_persistent_self,matched_diagnostic,0.2612158051363,0.0,0.0,6.66,0,1.0,0,0.34346504280251,1,2,0.0,1.0,4.2,1.0,1.0,02cc1b308e8025a4595153732a94b227b0d8140b571aeec6a576d773ca18cd80
262,drone,progressive_persistent,matched_diagnostic,0.72142606427266,0.71279604174427,0.625,0.7,1,0.14583333333333,7,0.33633004706585,2,3,1.0,0.4,0.46666666666667,1.0,1.0,bb21022389d4e0b97bc760a85d46a5c1ffc31bc54f37fbd74c203dea167ed089
262,drone,final_from_start,matched_diagnostic,0.72142505734034,0.71279604174427,0.625,0.7,1,0.14583333333333,7,0.3363216559632,2,3,1.0,0.23333333333333,0.46666666666667,1.0,1.0,32f616c90c6e19d9ac268a7377fd805184adb9f93c70bd15064276383a315772
262,drone,reverse_curriculum,matched_diagnostic,0.72143189907485,0.71279604174427,0.625,0.7,1,0.14583333333333,7,0.33637867041746,2,2,1.0,0.51666666666667,0.46666666666667,1.0,1.0,fe59568df560bd420b5fe604ef6573c8d24ee6481ad4e5503b63e7537cb2c746
262,drone,random_curriculum,matched_diagnostic,0.72142505734034,0.71279604174427,0.625,0.7,1,0.14583333333333,7,0.3363216559632,2,3,1.0,0.23333333333333,0.46666666666667,1.0,1.0,d301126a3c6236ec921c61e412131f33bf944ad46715560f3f05ae9d6fe3ad74
262,drone,progressive_history_reset,matched_diagnostic,0.72138531968451,0.71279604174427,0.625,0.7,1,0.14583333333333,7,0.33599050883125,2,5,0.0,0.0,4.2,0.0,1.0,bb21022389d4e0b97bc760a85d46a5c1ffc31bc54f37fbd74c203dea167ed089
262,drone,progressive_no_persistent_self,matched_diagnostic,0.26035787612231,0.0,0.0,6.66,0,1.0,0,0.3363156343526,1,2,0.0,1.0,4.2,1.0,1.0,bb21022389d4e0b97bc760a85d46a5c1ffc31bc54f37fbd74c203dea167ed089
262,virtual_avatar,progressive_persistent,matched_diagnostic,0.92317514277321,1.0,1.0,0.0,1,0.0,0,0.35979285644345,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,cb74211f15154d7fa060d5678afa5b07931ba50e15ad7aa5b6a856c1cba799d6
262,virtual_avatar,final_from_start,matched_diagnostic,0.92318421170166,1.0,1.0,0.0,1,0.0,0,0.35986843084717,1,1,1.0,0.0,0.0,1.0,1.0,5dfebc21d9626e2e5e9c7f28ef8817e34ecb50c1946be878b6a595afa795a7aa
262,virtual_avatar,reverse_curriculum,matched_diagnostic,0.92317514277321,1.0,1.0,0.0,1,0.0,0,0.35979285644345,1,2,1.0,0.03333333333333,0.06666666666667,1.0,1.0,570bc399c6e8b5bdbead32b3aa6304cf6104ef5faeaec5e24d8e08d320ba8232
262,virtual_avatar,random_curriculum,matched_diagnostic,0.92318421170166,1.0,1.0,0.0,1,0.0,0,0.35986843084717,1,1,1.0,0.0,0.0,1.0,1.0,166f84034df055630c5ce84efc88cd6f1aa5e94007143d0e28d89470bcd6da2d
262,virtual_avatar,progressive_history_reset,matched_diagnostic,0.92318231225936,1.0,1.0,0.0,1,0.0,0,0.35985260216133,1,4,0.0,0.0,4.2,0.0,1.0,cb74211f15154d7fa060d5678afa5b07931ba50e15ad7aa5b6a856c1cba799d6
262,virtual_avatar,progressive_no_persistent_self,matched_diagnostic,0.92304216282883,1.0,1.0,0.0,1,0.0,0,0.35868469024023,1,2,0.0,1.0,4.2,0.0,1.0,cb74211f15154d7fa060d5678afa5b07931ba50e15ad7aa5b6a856c1cba799d6
263,ground_creature,progressive_persistent,matched_diagnostic,0.92305645931064,1.0,1.0,0.0,1,0.0,0,0.35880382758863,1,2,1.0,0.08333333333333,0.16666666666667,1.0,1.0,a61af23c75813cef9578bd69ab905a9358255a06152c084d4ced80c0e75226fe
