parameter_id,label,identity_advantage,identity_ci_low,identity_ci_high,identity_seed_wins,identity_profile_positive_count,lure_rejection_advantage,lure_ci_low,lure_ci_high,lure_seed_wins,lure_profile_positive_count,both_sign_preserved,both_ci_supported,both_profile_direction_3of4,ordinary_threshold,postchange_threshold,new_entity_anchor_gate,persistent_reconnect_gate,smoothing_scale,anchor_cost_scale,nonpersistent_penalty_scale
06377b5b0d8e7e68,ordinary_causal_weight_x0.8,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,1.0
1537795a9efbba4d,persistent_reconnect_gate_0.63,0.8041666666666668,0.7233796296296297,0.8753501157407407,30,4,0.541087962962963,0.48657407407407405,0.5898148148148148,30,4,True,True,True,0.66,0.82,0.62,0.63,1.0,1.0,1.0
18f6751c74e63d37,smoothing_scale_0.8,0.7370370370370372,0.653125,0.8127372685185185,30,4,0.5101851851851852,0.45625,0.5585677083333334,30,4,True,True,True,0.66,0.82,0.62,0.7,0.8,1.0,1.0
1b191122bf204abf,joint_06,0.29212962962962963,0.20451388888888886,0.3681712962962963,27,4,0.5366898148148149,0.48518229166666654,0.5804398148148147,30,4,True,True,True,0.63,0.87,0.6125,0.70875,1.1749999999999998,0.90625,1.15625
3024ad26066b10e3,joint_03,-0.24756944444444445,-0.3516232638888888,-0.14861111111111114,4,1,0.3327546296296296,0.2675925925925926,0.3951388888888889,28,4,False,False,False,0.73,0.81,0.6275000000000001,0.74375,1.075,0.78125,1.21875
32e352ff48345d00,ordinary_threshold_0.74,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.74,0.82,0.62,0.7,1.0,1.0,1.0
37159ae9f042ee5e,postchange_causal_weight_x0.8,0.9710648148148148,0.9575231481481481,0.9820601851851851,30,4,0.6444444444444446,0.6372685185185186,0.651160300925926,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,1.0
3eabbd67d74e6d77,central,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,1.0
4174679effc60e6c,joint_00,0.42777777777777776,0.3467563657407407,0.50671875,29,4,0.31898148148148137,0.26469907407407406,0.3715306712962963,29,4,True,True,True,0.6499999999999999,0.75,0.6725000000000001,0.67375,1.125,1.03125,1.09375
49336dcd6baab892,nonpersistent_penalty_scale_1.25,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,1.25
506c41c4393d2a3e,smoothing_scale_1.2,0.7708333333333334,0.6873784722222223,0.8431712962962961,30,4,0.5252314814814816,0.4717563657407407,0.5722222222222222,30,4,True,True,True,0.66,0.82,0.62,0.7,1.2,1.0,1.0
57a949ee869f33f6,ordinary_threshold_0.58,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.58,0.82,0.62,0.7,1.0,1.0,1.0
68359943c3561cbb,new_entity_anchor_gate_0.68,0.756712962962963,0.6722193287037036,0.8319473379629629,30,4,0.5200231481481482,0.46493055555555557,0.5688657407407407,30,4,True,True,True,0.66,0.82,0.68,0.7,1.0,1.0,1.0
6aad5aa919183355,anchor_cost_scale_0.75,0.790625,0.7120341435185183,0.8606481481481479,30,4,0.5208333333333334,0.468978587962963,0.5672453703703704,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,0.75,1.0
6cfc23006526029e,nonpersistent_penalty_scale_0.75,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,0.75
791fedb7310df556,postchange_causal_weight_x1.2,0.4090277777777777,0.31272858796296304,0.5031249999999999,28,4,0.30763888888888874,0.24328414351851854,0.3700260416666666,28,4,True,True,True,0.66,0.82,0.62,0.7,1.0,1.0,1.0
79b88271409cebee,postchange_threshold_0.74,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,4,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,4,True,True,True,0.66,0.74,0.62,0.7,1.0,1.0,1.0
