parameter_id,label,identity_advantage,identity_simultaneous_low,identity_simultaneous_high,lure_rejection_advantage,lure_rejection_simultaneous_low,lure_rejection_simultaneous_high,both_simultaneous_positive
06377b5b0d8e7e68,ordinary_causal_weight_x0.8,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
1537795a9efbba4d,persistent_reconnect_gate_0.63,0.8041666666666668,0.6934027777777779,0.9149305555555557,0.5410879629629629,0.430324074074074,0.6518518518518518,True
18f6751c74e63d37,smoothing_scale_0.8,0.737037037037037,0.6262731481481482,0.8478009259259259,0.5101851851851852,0.3994212962962963,0.6209490740740741,True
1b191122bf204abf,joint_06,0.29212962962962963,0.18136574074074072,0.4028935185185185,0.5366898148148148,0.42592592592592593,0.6474537037037037,True
3024ad26066b10e3,joint_03,-0.24756944444444445,-0.3583333333333334,-0.13680555555555554,0.3327546296296297,0.2219907407407408,0.44351851851851865,False
32e352ff48345d00,ordinary_threshold_0.74,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
37159ae9f042ee5e,postchange_causal_weight_x0.8,0.9710648148148148,0.8603009259259259,1.0818287037037038,0.6444444444444446,0.5336805555555557,0.7552083333333335,True
3eabbd67d74e6d77,central,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
4174679effc60e6c,joint_00,0.4277777777777778,0.31701388888888893,0.5385416666666667,0.3189814814814814,0.2082175925925925,0.4297453703703703,True
49336dcd6baab892,nonpersistent_penalty_scale_1.25,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
506c41c4393d2a3e,smoothing_scale_1.2,0.7708333333333334,0.6600694444444445,0.8815972222222223,0.5252314814814815,0.4144675925925926,0.6359953703703703,True
57a949ee869f33f6,ordinary_threshold_0.58,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
68359943c3561cbb,new_entity_anchor_gate_0.68,0.756712962962963,0.6459490740740741,0.8674768518518519,0.5200231481481481,0.4092592592592592,0.630787037037037,True
6aad5aa919183355,anchor_cost_scale_0.75,0.790625,0.6798611111111111,0.9013888888888889,0.5208333333333334,0.4100694444444445,0.6315972222222223,True
6cfc23006526029e,nonpersistent_penalty_scale_0.75,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
791fedb7310df556,postchange_causal_weight_x1.2,0.4090277777777779,0.298263888888889,0.5197916666666668,0.3076388888888888,0.19687499999999988,0.4184027777777777,True
79b88271409cebee,postchange_threshold_0.74,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
8700f90f93a168db,anchor_cost_scale_1.25,0.6741898148148148,0.5634259259259259,0.7849537037037037,0.5090277777777779,0.398263888888889,0.6197916666666667,True
a43a193a7b0fd727,new_entity_anchor_gate_0.56,0.7590277777777777,0.6482638888888889,0.8697916666666666,0.5223379629629629,0.411574074074074,0.6331018518518517,True
b292cd026c2bcaca,persistent_reconnect_gate_0.77,-0.02118055555555555,-0.13194444444444448,0.08958333333333336,0.5416666666666665,0.43090277777777763,0.6524305555555554,False
b620e4ea0509f59a,ordinary_causal_weight_x1.2,0.7601851851851851,0.6494212962962962,0.870949074074074,0.5237268518518519,0.412962962962963,0.6344907407407407,True
c53a10ada1c2be83,joint_05,0.8980324074074075,0.7872685185185186,1.0087962962962964,0.599537037037037,0.4887731481481481,0.7103009259259259,True
cb6d1d701cb584ae,joint_01,0.31539351851851855,0.20462962962962963,0.4261574074074075,0.21099537037037042,0.1002314814814815,0.3217592592592593,True
ce570ae60775c2b6,joint_04,0.08159722222222222,-0.029166666666666688,0.19236111111111115,0.6046296296296295,0.49386574074074063,0.7153935185185184,False
dc6413addc7317d8,postchange_threshold_0.9,0.7572916666666666,0.6465277777777777,0.8680555555555555,0.5229166666666667,0.4121527777777778,0.6336805555555556,True
e9418808cbd7ae60,joint_02,0.20578703703703705,0.09502314814814813,0.31655092592592593,0.6006944444444444,0.48993055555555554,0.7114583333333333,True
f740ac6001868916,joint_07,0.9714120370370368,0.8606481481481479,1.0821759259259258,0.6623842592592593,0.5516203703703704,0.7731481481481481,True
