seed,profile,scenario,identity_continuity_cias,lure_capture_cias,identity_continuity_baseline,lure_capture_baseline,cias_condition,baseline_model,continuity_advantage,lure_rejection_advantage
340,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
340,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
341,drone,matched_adversarial_identity,0.9027777777777778,0.0972222222222222,1.0,0.0,cias_full,generic_recurrent_filter,-0.09722222222222221,-0.0972222222222222
341,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
341,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
341,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
342,drone,matched_adversarial_identity,0.9305555555555556,0.0694444444444444,0.9861111111111112,0.0138888888888888,cias_full,generic_recurrent_filter,-0.05555555555555558,-0.05555555555555561
342,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
342,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
342,wheeled_robot,matched_adversarial_identity,0.9305555555555556,0.0694444444444444,1.0,0.0,cias_full,generic_recurrent_filter,-0.06944444444444442,-0.0694444444444444
343,drone,matched_adversarial_identity,1.0,0.0,0.9861111111111112,0.0138888888888888,cias_full,generic_recurrent_filter,0.01388888888888884,0.0138888888888888
343,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
343,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
343,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
344,drone,matched_adversarial_identity,1.0,0.0,0.9861111111111112,0.0138888888888888,cias_full,generic_recurrent_filter,0.01388888888888884,0.0138888888888888
344,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
344,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
344,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
345,drone,matched_adversarial_identity,0.6388888888888888,0.0972222222222222,1.0,0.0,cias_full,generic_recurrent_filter,-0.36111111111111116,-0.0972222222222222
345,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
345,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
345,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
346,drone,matched_adversarial_identity,0.7361111111111112,0.0,0.9861111111111112,0.0138888888888888,cias_full,generic_recurrent_filter,-0.25,0.0138888888888888
346,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
346,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
346,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
347,drone,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
347,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
347,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
347,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
348,drone,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
348,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
348,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
348,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
349,drone,matched_adversarial_identity,0.9027777777777778,0.0972222222222222,1.0,0.0,cias_full,generic_recurrent_filter,-0.09722222222222221,-0.0972222222222222
349,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
349,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
349,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
350,drone,matched_adversarial_identity,0.7361111111111112,0.2638888888888889,1.0,0.0,cias_full,generic_recurrent_filter,-0.26388888888888884,-0.2638888888888889
350,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
350,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
350,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
351,drone,matched_adversarial_identity,0.6666666666666666,0.0694444444444444,1.0,0.0,cias_full,generic_recurrent_filter,-0.33333333333333337,-0.0694444444444444
351,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
351,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
351,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
352,drone,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
352,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
352,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
352,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
353,drone,matched_adversarial_identity,0.7777777777777778,0.0,1.0,0.0,cias_full,generic_recurrent_filter,-0.2222222222222222,0.0
353,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
353,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
353,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
354,drone,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
354,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
354,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
354,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
355,drone,matched_adversarial_identity,1.0,0.0,0.9861111111111112,0.0138888888888888,cias_full,generic_recurrent_filter,0.01388888888888884,0.0138888888888888
355,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
355,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
355,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
356,drone,matched_adversarial_identity,0.6527777777777778,0.0833333333333333,1.0,0.0,cias_full,generic_recurrent_filter,-0.3472222222222222,-0.0833333333333333
356,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
356,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
356,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
357,drone,matched_adversarial_identity,0.6388888888888888,0.0972222222222222,1.0,0.0,cias_full,generic_recurrent_filter,-0.36111111111111116,-0.0972222222222222
357,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
357,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
357,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
358,drone,matched_adversarial_identity,1.0,0.0,0.9722222222222222,0.0277777777777777,cias_full,generic_recurrent_filter,0.02777777777777779,0.0277777777777777
358,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
358,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
358,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
359,drone,matched_adversarial_identity,1.0,0.0,0.9861111111111112,0.0138888888888888,cias_full,generic_recurrent_filter,0.01388888888888884,0.0138888888888888
359,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
359,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
359,wheeled_robot,matched_adversarial_identity,0.9305555555555556,0.0694444444444444,1.0,0.0,cias_full,generic_recurrent_filter,-0.06944444444444442,-0.0694444444444444
360,drone,matched_adversarial_identity,0.625,0.0972222222222222,1.0,0.0,cias_full,generic_recurrent_filter,-0.375,-0.0972222222222222
360,ground_creature,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
360,virtual_avatar,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
360,wheeled_robot,matched_adversarial_identity,1.0,0.0,1.0,0.0,cias_full,generic_recurrent_filter,0.0,0.0
