comparison,metric,mean_advantage,ci_low,ci_high,n_seeds,seed_wins
cias_full-vs-generic_recurrent_filter,continuity_advantage,-0.050578703703703716,-0.06759259259259259,-0.034490740740740745,30,4
cias_full-vs-generic_recurrent_filter,lure_rejection_advantage,-0.021759259259259266,-0.03136574074074074,-0.012962962962962971,30,5
