parameter_id,metric,mean_advantage,ci_low,ci_high,n_seeds,seed_wins,profile_positive_count,qualitative_positive,ci_supported
06377b5b0d8e7e68,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
06377b5b0d8e7e68,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
1537795a9efbba4d,identity_continuity_advantage,0.8041666666666668,0.7233796296296297,0.8753501157407407,30,30,4,True,True
1537795a9efbba4d,lure_rejection_advantage,0.541087962962963,0.48657407407407405,0.5898148148148148,30,30,4,True,True
18f6751c74e63d37,identity_continuity_advantage,0.7370370370370372,0.653125,0.8127372685185185,30,30,4,True,True
18f6751c74e63d37,lure_rejection_advantage,0.5101851851851852,0.45625,0.5585677083333334,30,30,4,True,True
1b191122bf204abf,identity_continuity_advantage,0.29212962962962963,0.20451388888888886,0.3681712962962963,30,27,4,True,True
1b191122bf204abf,lure_rejection_advantage,0.5366898148148149,0.48518229166666654,0.5804398148148147,30,30,4,True,True
3024ad26066b10e3,identity_continuity_advantage,-0.24756944444444445,-0.3516232638888888,-0.14861111111111114,30,4,1,False,False
3024ad26066b10e3,lure_rejection_advantage,0.3327546296296296,0.2675925925925926,0.3951388888888889,30,28,4,True,True
32e352ff48345d00,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
32e352ff48345d00,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
37159ae9f042ee5e,identity_continuity_advantage,0.9710648148148148,0.9575231481481481,0.9820601851851851,30,30,4,True,True
37159ae9f042ee5e,lure_rejection_advantage,0.6444444444444446,0.6372685185185186,0.651160300925926,30,30,4,True,True
3eabbd67d74e6d77,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
3eabbd67d74e6d77,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
4174679effc60e6c,identity_continuity_advantage,0.42777777777777776,0.3467563657407407,0.50671875,30,29,4,True,True
4174679effc60e6c,lure_rejection_advantage,0.31898148148148137,0.26469907407407406,0.3715306712962963,30,29,4,True,True
49336dcd6baab892,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
49336dcd6baab892,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
506c41c4393d2a3e,identity_continuity_advantage,0.7708333333333334,0.6873784722222223,0.8431712962962961,30,30,4,True,True
506c41c4393d2a3e,lure_rejection_advantage,0.5252314814814816,0.4717563657407407,0.5722222222222222,30,30,4,True,True
57a949ee869f33f6,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
57a949ee869f33f6,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
68359943c3561cbb,identity_continuity_advantage,0.756712962962963,0.6722193287037036,0.8319473379629629,30,30,4,True,True
68359943c3561cbb,lure_rejection_advantage,0.5200231481481482,0.46493055555555557,0.5688657407407407,30,30,4,True,True
6aad5aa919183355,identity_continuity_advantage,0.790625,0.7120341435185183,0.8606481481481479,30,30,4,True,True
6aad5aa919183355,lure_rejection_advantage,0.5208333333333334,0.468978587962963,0.5672453703703704,30,30,4,True,True
6cfc23006526029e,identity_continuity_advantage,0.7601851851851851,0.6778935185185184,0.8334490740740741,30,30,4,True,True
6cfc23006526029e,lure_rejection_advantage,0.5237268518518519,0.47036747685185176,0.5706018518518517,30,30,4,True,True
