run_id,seed,profile,scenario,parameter_id,condition,frame,time_s,scene_hash,lineage_id,true_self_entity_id,lure_entity_id,lure_present
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_no_persistent_self,12,1.2,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_full,13,1.3,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_no_persistent_self,13,1.3,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_full,14,1.4,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_no_persistent_self,14,1.4,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_full,15,1.5,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_no_persistent_self,15,1.5,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_full,16,1.6,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_no_persistent_self,16,1.6,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
327_ground_creature_matched_adversarial_identity,327,ground_creature,matched_adversarial_identity,central,cias_full,17,1.7,b77207315ebfd9f9cae0bcf7b0e1209df89a62567e4a0a67db30acf930308855,-1,2,-1,0
