parameter_id,condition,run_id,seed,profile,scenario,identity_continuity,lure_capture,recovery_latency_s,selection_switches,final_lineage_retention
central,cias_full,325_wheeled_robot_matched_adversarial_identity,325,wheeled_robot,matched_adversarial_identity,1.0,0.0,0.0,4,1
central,cias_full,326_drone_matched_adversarial_identity,326,drone,matched_adversarial_identity,0.6666666666666666,0.09722222222222222,0.7000000000000001,14,1
central,cias_full,326_ground_creature_matched_adversarial_identity,326,ground_creature,matched_adversarial_identity,1.0,0.0,0.0,4,1
central,cias_full,326_virtual_avatar_matched_adversarial_identity,326,virtual_avatar,matched_adversarial_identity,1.0,0.0,0.0,4,1
central,cias_full,326_wheeled_robot_matched_adversarial_identity,326,wheeled_robot,matched_adversarial_identity,1.0,0.0,0.0,4,1
central,cias_no_persistent_self,315_drone_matched_adversarial_identity,315,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,315_ground_creature_matched_adversarial_identity,315,ground_creature,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,315_virtual_avatar_matched_adversarial_identity,315,virtual_avatar,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,315_wheeled_robot_matched_adversarial_identity,315,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,316_drone_matched_adversarial_identity,316,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,316_ground_creature_matched_adversarial_identity,316,ground_creature,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,316_virtual_avatar_matched_adversarial_identity,316,virtual_avatar,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,316_wheeled_robot_matched_adversarial_identity,316,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,317_drone_matched_adversarial_identity,317,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,317_ground_creature_matched_adversarial_identity,317,ground_creature,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,317_virtual_avatar_matched_adversarial_identity,317,virtual_avatar,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,317_wheeled_robot_matched_adversarial_identity,317,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,318_drone_matched_adversarial_identity,318,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,318_ground_creature_matched_adversarial_identity,318,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,318_virtual_avatar_matched_adversarial_identity,318,virtual_avatar,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,318_wheeled_robot_matched_adversarial_identity,318,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,319_drone_matched_adversarial_identity,319,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,319_ground_creature_matched_adversarial_identity,319,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,319_virtual_avatar_matched_adversarial_identity,319,virtual_avatar,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,319_wheeled_robot_matched_adversarial_identity,319,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,320_drone_matched_adversarial_identity,320,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,320_ground_creature_matched_adversarial_identity,320,ground_creature,matched_adversarial_identity,1.0,0.0,0.0,3,1
central,cias_no_persistent_self,320_virtual_avatar_matched_adversarial_identity,320,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,320_wheeled_robot_matched_adversarial_identity,320,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,321_drone_matched_adversarial_identity,321,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,321_ground_creature_matched_adversarial_identity,321,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,321_virtual_avatar_matched_adversarial_identity,321,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,321_wheeled_robot_matched_adversarial_identity,321,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,322_drone_matched_adversarial_identity,322,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,322_ground_creature_matched_adversarial_identity,322,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,322_virtual_avatar_matched_adversarial_identity,322,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,322_wheeled_robot_matched_adversarial_identity,322,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,323_drone_matched_adversarial_identity,323,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,323_ground_creature_matched_adversarial_identity,323,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,323_virtual_avatar_matched_adversarial_identity,323,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,323_wheeled_robot_matched_adversarial_identity,323,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,324_drone_matched_adversarial_identity,324,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,324_ground_creature_matched_adversarial_identity,324,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,324_virtual_avatar_matched_adversarial_identity,324,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,324_wheeled_robot_matched_adversarial_identity,324,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,325_drone_matched_adversarial_identity,325,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,325_ground_creature_matched_adversarial_identity,325,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,325_virtual_avatar_matched_adversarial_identity,325,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,325_wheeled_robot_matched_adversarial_identity,325,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,326_drone_matched_adversarial_identity,326,drone,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,326_ground_creature_matched_adversarial_identity,326,ground_creature,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,326_virtual_avatar_matched_adversarial_identity,326,virtual_avatar,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
central,cias_no_persistent_self,326_wheeled_robot_matched_adversarial_identity,326,wheeled_robot,matched_adversarial_identity,0.0,0.6666666666666666,,4,0
